epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
15,0.04802140260063079,"tensor(0.1061, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.2064, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2437, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0751, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3368, device='cuda:0')","tensor(3.0725, device='cuda:0')","tensor(0.0569, device='cuda:0')"
16,0.046325042112734936,"tensor(0.1115, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1758, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1677, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0725, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1550, device='cuda:0')","tensor(3.1991, device='cuda:0')","tensor(0.0519, device='cuda:0')"
17,0.04279976706154521,"tensor(0.0993, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1575, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0523, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0710, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0851, device='cuda:0')","tensor(2.9874, device='cuda:0')","tensor(0.0553, device='cuda:0')"
18,0.04029484325713696,"tensor(0.1052, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0982, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9785, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0654, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3897, device='cuda:0')","tensor(3.1016, device='cuda:0')","tensor(0.0520, device='cuda:0')"
19,0.03927334694871055,"tensor(0.1041, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1006, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9167, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0667, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7678, device='cuda:0')","tensor(3.0721, device='cuda:0')","tensor(0.0544, device='cuda:0')"
20,0.03811565745543826,"tensor(0.1033, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0974, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8802, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0617, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1636, device='cuda:0')","tensor(3.0423, device='cuda:0')","tensor(0.0521, device='cuda:0')"
21,0.038450292097271604,"tensor(0.1180, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1900, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8695, device='cuda:0', dtype=torch.float64, grad_fn=<DivBackward0>)","tensor(0.0628, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8972, device='cuda:0')","tensor(3.3464, device='cuda:0')","tensor(0.0530, device='cuda:0')"
22,0.037919908395317274,"tensor(0.1077, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1414, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8718, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0626, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1448, device='cuda:0')","tensor(3.1049, device='cuda:0')","tensor(0.0523, device='cuda:0')"
23,0.036011214939213984,"tensor(0.1138, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1533, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7884, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0595, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8599, device='cuda:0')","tensor(3.2406, device='cuda:0')","tensor(0.0532, device='cuda:0')"
24,0.035473306705606805,"tensor(0.1037, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0986, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7647, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0598, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8472, device='cuda:0')","tensor(3.0443, device='cuda:0')","tensor(0.0524, device='cuda:0')"
