epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
15,10.546263474018886,"tensor(16.4053, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1130, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0747, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0596, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1240, device='cuda:0')","tensor(3.0453, device='cuda:0')","tensor(0.0546, device='cuda:0')"
16,10.264497406818135,"tensor(17.5075, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1118, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0185, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0603, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7752, device='cuda:0')","tensor(3.1359, device='cuda:0')","tensor(0.0527, device='cuda:0')"
17,10.08298633290653,"tensor(15.7013, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1372, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9774, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0587, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1728, device='cuda:0')","tensor(2.8951, device='cuda:0')","tensor(0.0532, device='cuda:0')"
18,9.807390285319649,"tensor(16.6734, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1944, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9115, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0555, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8460, device='cuda:0')","tensor(3.1548, device='cuda:0')","tensor(0.0535, device='cuda:0')"
19,9.438324932002693,"tensor(16.1712, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1441, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8480, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0541, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1569, device='cuda:0')","tensor(2.9916, device='cuda:0')","tensor(0.0564, device='cuda:0')"
20,9.2978830805022,"tensor(17.6200, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1267, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8236, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0532, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7245, device='cuda:0')","tensor(3.1684, device='cuda:0')","tensor(0.0535, device='cuda:0')"
21,9.226952351850757,"tensor(18.0744, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0707, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8210, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0513, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.8019, device='cuda:0')","tensor(3.2437, device='cuda:0')","tensor(0.0539, device='cuda:0')"
22,8.863275551421301,"tensor(16.6179, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0468, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7532, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0503, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.2599, device='cuda:0')","tensor(3.0588, device='cuda:0')","tensor(0.0642, device='cuda:0')"
23,8.996433183782898,"tensor(17.9356, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0611, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7765, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0528, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4116, device='cuda:0')","tensor(3.0943, device='cuda:0')","tensor(0.0527, device='cuda:0')"
24,8.729816194380142,"tensor(18.8034, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0373, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7292, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0463, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2990, device='cuda:0')","tensor(3.2903, device='cuda:0')","tensor(0.0530, device='cuda:0')"
