epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
0,0.0938624141683035,"tensor(0.0925, device='cuda:0')","tensor(0.2474, device='cuda:0')",0.841295063495636,1.9485588073730469,0.048827387392520905,0.4001668393611908,1.8261967897415161,0.03033214993774891
1,0.06420081462163259,"tensor(0.0860, device='cuda:0')","tensor(0.2888, device='cuda:0')",0.3064603805541992,1.5659376382827759,0.037431750446558,0.18447236716747284,1.759168028831482,0.02655816078186035
2,0.054452845087165344,"tensor(0.0959, device='cuda:0')","tensor(0.2814, device='cuda:0')",0.2520122528076172,1.396395206451416,0.035157203674316406,0.7150715589523315,1.7383924722671509,0.029289305210113525
3,0.05571445509079186,"tensor(0.0879, device='cuda:0')","tensor(0.3714, device='cuda:0')",0.1919029951095581,1.3306636810302734,0.033515796065330505,0.4166658818721771,1.7410447597503662,0.02412349544465542
4,0.04645270644687116,"tensor(0.0887, device='cuda:0')","tensor(0.4028, device='cuda:0')",0.2359807938337326,1.2185267210006714,0.03170008212327957,0.37483322620391846,1.727219820022583,0.023887677118182182
5,0.043072643511764264,"tensor(0.0812, device='cuda:0')","tensor(0.4437, device='cuda:0')",0.14206993579864502,1.1661309003829956,0.03007740154862404,0.3197115957736969,1.666130542755127,0.02303067222237587
6,0.040267364806769526,"tensor(0.0847, device='cuda:0')","tensor(0.3981, device='cuda:0')",0.09677520394325256,1.1163197755813599,0.028811683878302574,0.2238031029701233,1.6950771808624268,0.0247599259018898
7,0.03822399560479372,"tensor(0.0861, device='cuda:0')","tensor(0.4303, device='cuda:0')",0.0872965082526207,1.0916281938552856,0.027849609032273293,0.24025073647499084,1.6771082878112793,0.022770512849092484
8,0.03590109012336196,"tensor(0.0739, device='cuda:0')","tensor(0.4640, device='cuda:0')",0.04462781548500061,1.0426077842712402,0.02601407840847969,0.22515811026096344,1.5873699188232422,0.022255124524235725
9,0.03419737791752114,"tensor(0.0811, device='cuda:0')","tensor(0.4390, device='cuda:0')",0.03706056624650955,0.9974659085273743,0.0252727922052145,0.4410313665866852,1.6365735530853271,0.023255664855241776
10,0.0501047132865471,"tensor(0.0923, device='cuda:0')","tensor(0.3195, device='cuda:0')",0.27828389406204224,1.3010010719299316,0.03405210003256798,0.427562415599823,1.8042147159576416,0.02581454999744892
11,0.047534064786946946,"tensor(0.0879, device='cuda:0')","tensor(0.4487, device='cuda:0')",0.16548414528369904,1.2711455821990967,0.03233606740832329,0.2001636028289795,1.7550275325775146,0.02392018958926201
12,0.043988597688867766,"tensor(0.0869, device='cuda:0')","tensor(0.4393, device='cuda:0')",0.13536478579044342,1.2026854753494263,0.029744163155555725,0.1426648050546646,1.699988603591919,0.02492850087583065
13,0.03831491320777465,"tensor(0.0808, device='cuda:0')","tensor(0.4174, device='cuda:0')",0.0738702043890953,1.0804928541183472,0.02746245451271534,0.21843469142913818,1.6502435207366943,0.025557203218340874
14,0.03384418500012115,"tensor(0.0829, device='cuda:0')","tensor(0.4991, device='cuda:0')",0.046799276024103165,0.9908174872398376,0.0253963191062212,0.19413089752197266,1.6654092073440552,0.023735448718070984
15,0.031583759673487616,"tensor(0.0758, device='cuda:0')","tensor(0.4384, device='cuda:0')",0.05705903097987175,0.932500422000885,0.02425175905227661,0.23353219032287598,1.5977908372879028,0.023137429729104042
16,0.0319216399340589,"tensor(0.0795, device='cuda:0')","tensor(0.3124, device='cuda:0')",0.058660417795181274,0.9570450782775879,0.02480456605553627,0.14809760451316833,1.644700288772583,0.02642528899013996
17,0.029991563361631158,"tensor(0.0798, device='cuda:0')","tensor(0.4282, device='cuda:0')",0.03884322568774223,0.8961386680603027,0.02386278472840786,0.2044428586959839,1.6070454120635986,0.02287796512246132
18,0.027965782660270205,"tensor(0.0822, device='cuda:0')","tensor(0.4548, device='cuda:0')",0.021055204793810844,0.8513410687446594,0.021374061703681946,0.2623778283596039,1.6567695140838623,0.023244773969054222
19,0.02754034916870296,"tensor(0.0773, device='cuda:0')","tensor(0.4563, device='cuda:0')",0.011608205735683441,0.8406540155410767,0.021093670278787613,0.2805168926715851,1.5899336338043213,0.024268338456749916
20,0.027287859284757254,"tensor(0.0809, device='cuda:0')","tensor(0.4081, device='cuda:0')",0.008360197767615318,0.8357049226760864,0.020448630675673485,0.22489194571971893,1.6373600959777832,0.024137208238244057
21,0.02647738602707464,"tensor(0.0777, device='cuda:0')","tensor(0.4749, device='cuda:0')",0.02854924649000168,0.815762996673584,0.020577624440193176,0.2714977264404297,1.619257926940918,0.023530280217528343
22,0.025555177913595212,"tensor(0.0798, device='cuda:0')","tensor(0.4568, device='cuda:0')",0.027347972616553307,0.7834203839302063,0.02128843031823635,0.23187775909900665,1.6039364337921143,0.02397865615785122
23,0.028984240454840746,"tensor(0.0796, device='cuda:0')","tensor(0.4236, device='cuda:0')",0.08500100672245026,0.8618027567863464,0.0247950479388237,0.23886653780937195,1.604299545288086,0.024642322212457657
24,0.026473334730219317,"tensor(0.0788, device='cuda:0')","tensor(0.4591, device='cuda:0')",0.0241006501019001,0.810282289981842,0.02067159302532673,0.20496438443660736,1.6197731494903564,0.022304881364107132
25,0.026557779309394604,"tensor(0.0815, device='cuda:0')","tensor(0.4536, device='cuda:0')",0.02622225694358349,0.795432984828949,0.01943603716790676,0.24206386506557465,1.630470871925354,0.024010855704545975
26,0.027421270319096306,"tensor(0.0814, device='cuda:0')","tensor(0.4686, device='cuda:0')",0.016385478898882866,0.8489311933517456,0.021779336035251617,0.2496945858001709,1.6351455450057983,0.026060044765472412
27,0.024964983554502183,"tensor(0.0829, device='cuda:0')","tensor(0.4314, device='cuda:0')",0.02180105447769165,0.7740724086761475,0.019966835156083107,0.3130202889442444,1.6567262411117554,0.029207488521933556
28,0.024665373959578574,"tensor(0.0776, device='cuda:0')","tensor(0.4185, device='cuda:0')",0.038122549653053284,0.7627645134925842,0.01985826902091503,0.18987850844860077,1.5884727239608765,0.02981342189013958
29,0.02510592609863071,"tensor(0.0792, device='cuda:0')","tensor(0.4121, device='cuda:0')",0.027394359931349754,0.7742187976837158,0.019403202459216118,0.20487454533576965,1.590099811553955,0.028147825971245766
30,0.024872580947190085,"tensor(0.0819, device='cuda:0')","tensor(0.4097, device='cuda:0')",0.0690932422876358,0.7644968032836914,0.019962165504693985,0.22474291920661926,1.6495633125305176,0.02848200313746929
31,0.023287047645734513,"tensor(0.0833, device='cuda:0')","tensor(0.4569, device='cuda:0')",0.02698158100247383,0.7338758111000061,0.018737630918622017,0.1597495973110199,1.6318141222000122,0.026159202679991722
32,0.02345358912476941,"tensor(0.0819, device='cuda:0')","tensor(0.3757, device='cuda:0')",0.02981223352253437,0.7461641430854797,0.01819762773811817,0.24497517943382263,1.644736647605896,0.029536902904510498
