epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
15,0.05568535167664763,"tensor(0.0979, device='cuda:0')","tensor(0.3745, device='cuda:0')","tensor(0.2938, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4594, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0466, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6001, device='cuda:0')","tensor(3.6606, device='cuda:0')","tensor(0.0413, device='cuda:0')"
16,0.05191443801399261,"tensor(0.0975, device='cuda:0')","tensor(0.3894, device='cuda:0')","tensor(0.2262, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3446, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0455, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5424, device='cuda:0')","tensor(3.4856, device='cuda:0')","tensor(0.0424, device='cuda:0')"
17,0.0538147378062445,"tensor(0.1006, device='cuda:0')","tensor(0.3955, device='cuda:0')","tensor(0.2499, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.4084, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0440, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8025, device='cuda:0')","tensor(3.4447, device='cuda:0')","tensor(0.0424, device='cuda:0')"
18,0.05284655244932288,"tensor(0.1021, device='cuda:0')","tensor(0.3808, device='cuda:0')","tensor(0.1490, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3819, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0436, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7675, device='cuda:0')","tensor(3.7326, device='cuda:0')","tensor(0.0420, device='cuda:0')"
19,0.052632503507156224,"tensor(0.0982, device='cuda:0')","tensor(0.3863, device='cuda:0')","tensor(0.2004, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.3423, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0437, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5437, device='cuda:0')","tensor(3.6103, device='cuda:0')","tensor(0.0418, device='cuda:0')"
20,0.04955512959332693,"tensor(0.0987, device='cuda:0')","tensor(0.3890, device='cuda:0')","tensor(0.1581, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2721, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0423, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6893, device='cuda:0')","tensor(3.5205, device='cuda:0')","tensor(0.0393, device='cuda:0')"
21,0.04843336615770582,"tensor(0.0987, device='cuda:0')","tensor(0.3253, device='cuda:0')","tensor(0.3062, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2285, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0439, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6815, device='cuda:0')","tensor(3.6479, device='cuda:0')","tensor(0.0441, device='cuda:0')"
22,0.04769576852402044,"tensor(0.0955, device='cuda:0')","tensor(0.3722, device='cuda:0')","tensor(0.1760, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1632, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0433, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5141, device='cuda:0')","tensor(3.4767, device='cuda:0')","tensor(0.0405, device='cuda:0')"
23,0.04666986529316221,"tensor(0.0960, device='cuda:0')","tensor(0.4123, device='cuda:0')","tensor(0.1143, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1927, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0397, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5337, device='cuda:0')","tensor(3.5356, device='cuda:0')","tensor(0.0367, device='cuda:0')"
24,0.04713566400228985,"tensor(0.0980, device='cuda:0')","tensor(0.4339, device='cuda:0')","tensor(0.1094, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1527, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0398, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6123, device='cuda:0')","tensor(3.7419, device='cuda:0')","tensor(0.0381, device='cuda:0')"
25,0.047892233327267664,"tensor(0.0970, device='cuda:0')","tensor(0.4046, device='cuda:0')","tensor(0.1497, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.2327, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0402, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8868, device='cuda:0')","tensor(3.5095, device='cuda:0')","tensor(0.0375, device='cuda:0')"
26,0.04738368389625398,"tensor(0.0987, device='cuda:0')","tensor(0.3937, device='cuda:0')","tensor(0.1441, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1808, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0397, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.7339, device='cuda:0')","tensor(3.4560, device='cuda:0')","tensor(0.0368, device='cuda:0')"
27,0.045260598262151085,"tensor(0.0966, device='cuda:0')","tensor(0.4365, device='cuda:0')","tensor(0.2768, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.1076, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0385, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.4370, device='cuda:0')","tensor(3.5626, device='cuda:0')","tensor(0.0364, device='cuda:0')"
28,0.04321328071611268,"tensor(0.0937, device='cuda:0')","tensor(0.4407, device='cuda:0')","tensor(0.1094, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0572, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0372, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6660, device='cuda:0')","tensor(3.3844, device='cuda:0')","tensor(0.0359, device='cuda:0')"
29,0.043711082300259954,"tensor(0.1026, device='cuda:0')","tensor(0.4212, device='cuda:0')","tensor(0.0989, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0245, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0369, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6485, device='cuda:0')","tensor(3.4891, device='cuda:0')","tensor(0.0398, device='cuda:0')"
30,0.04263275527646617,"tensor(0.0938, device='cuda:0')","tensor(0.4345, device='cuda:0')","tensor(0.1262, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.9765, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0369, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.5032, device='cuda:0')","tensor(3.5697, device='cuda:0')","tensor(0.0379, device='cuda:0')"
31,0.04498611437895941,"tensor(0.1009, device='cuda:0')","tensor(0.4051, device='cuda:0')","tensor(0.1313, device='cuda:0', grad_fn=<DivBackward0>)","tensor(2.0967, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0377, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.6270, device='cuda:0')","tensor(3.4908, device='cuda:0')","tensor(0.0392, device='cuda:0')"
