epoch,train_loss,val_loss,mAP,train_cls_loss,train_box_loss,train_obj_loss,val_cls_loss,val_box_loss,val_obj_loss
34,7.493234311437952,"tensor(17.3075, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0341, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4824, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0473, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1323, device='cuda:0')","tensor(3.2249, device='cuda:0')","tensor(0.0509, device='cuda:0')"
35,7.630938704691912,"tensor(17.2792, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0481, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5074, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0460, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0064, device='cuda:0')","tensor(3.2443, device='cuda:0')","tensor(0.0512, device='cuda:0')"
36,7.827333704790799,"tensor(17.4817, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0535, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5453, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0471, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0887, device='cuda:0')","tensor(3.2684, device='cuda:0')","tensor(0.0509, device='cuda:0')"
37,7.424286553803528,"tensor(18.1370, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0242, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4708, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0460, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0806, device='cuda:0')","tensor(3.4001, device='cuda:0')","tensor(0.0557, device='cuda:0')"
38,7.442476412071356,"tensor(18.3926, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0544, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4688, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0441, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3577, device='cuda:0')","tensor(3.3972, device='cuda:0')","tensor(0.0488, device='cuda:0')"
39,7.404298500500202,"tensor(17.6659, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.1000, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4524, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0424, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.9715, device='cuda:0')","tensor(3.3284, device='cuda:0')","tensor(0.0521, device='cuda:0')"
40,7.270497102662365,"tensor(17.7004, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0798, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4301, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0402, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7260, device='cuda:0')","tensor(3.1841, device='cuda:0')","tensor(0.0538, device='cuda:0')"
41,7.292514768159475,"tensor(17.2798, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0326, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4437, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0414, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.8845, device='cuda:0')","tensor(3.2690, device='cuda:0')","tensor(0.0502, device='cuda:0')"
42,7.239041956556212,"tensor(17.4770, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0232, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4351, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0405, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1406, device='cuda:0')","tensor(3.2577, device='cuda:0')","tensor(0.0477, device='cuda:0')"
43,6.840619143700933,"tensor(17.7683, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0243, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3555, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0386, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4224, device='cuda:0')","tensor(3.2588, device='cuda:0')","tensor(0.0518, device='cuda:0')"
44,7.06736761249109,"tensor(18.0414, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0210, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4015, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0389, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5056, device='cuda:0')","tensor(3.2979, device='cuda:0')","tensor(0.0462, device='cuda:0')"
45,7.037787194626906,"tensor(17.1145, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0134, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3969, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0398, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.0422, device='cuda:0')","tensor(3.2042, device='cuda:0')","tensor(0.0514, device='cuda:0')"
46,6.966939607996774,"tensor(18.1268, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0136, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3826, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0405, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4895, device='cuda:0')","tensor(3.3174, device='cuda:0')","tensor(0.0500, device='cuda:0')"
47,7.090865105155195,"tensor(17.7339, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0101, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.4079, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0410, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.7895, device='cuda:0')","tensor(3.1787, device='cuda:0')","tensor(0.0509, device='cuda:0')"
48,6.843857004584373,"tensor(17.3229, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0570, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3496, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0387, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.1698, device='cuda:0')","tensor(3.2202, device='cuda:0')","tensor(0.0521, device='cuda:0')"
49,6.7969723099923955,"tensor(17.8575, device='cuda:0')","tensor(0., device='cuda:0')","tensor(0.0548, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.3404, device='cuda:0', grad_fn=<DivBackward0>)","tensor(0.0402, device='cuda:0', grad_fn=<DivBackward0>)","tensor(1.5864, device='cuda:0')","tensor(3.2447, device='cuda:0')","tensor(0.0475, device='cuda:0')"
